"ID";"QA";"Time";"Station";"Controller_Serial_Number";"Note";"Is_Re_Work";"isPaid"
687;"a1956";"2019-10-30 09:10:57";"Added to waiting list burn in";"30N004000324";"Added to burn in system.";0;0
688;"a1956";"2019-10-30 09:10:58";"Added to waiting list burn in";"30N004000036";"Added to burn in system.";0;0
689;"a1956";"2019-10-30 09:11:01";"Added to waiting list burn in";"30N004000129";"Added to burn in system.";0;0
690;"a1956";"2019-10-30 09:11:01";"Added to waiting list burn in";"30N004000030";"Added to burn in system.";0;0
691;"a1956";"2019-10-30 09:11:02";"Added to waiting list burn in";"30N004000285";"Added to burn in system.";0;0
692;"a1956";"2019-10-30 09:11:02";"Added to waiting list burn in";"30N004000336";"Added to burn in system.";0;0
693;"a1956";"2019-10-30 09:11:03";"Added to waiting list burn in";"30N004000394";"Added to burn in system.";0;0
694;"a1956";"2019-10-30 09:11:03";"Added to waiting list burn in";"30N004000384";"Added to burn in system.";0;0
695;"a1956";"2019-10-30 09:11:04";"Added to waiting list burn in";"30N004000115";"Added to burn in system.";0;0
696;"a1956";"2019-10-30 09:11:07";"Burn In Station";"30N004000282";"Started Burn In Process";0;0
697;"a1956";"2019-10-30 09:11:07";"Burn In Station";"30N004000337";"Started Burn In Process";0;0
698;"a1956";"2019-10-30 09:11:07";"Burn In Station";"30N004000393";"Started Burn In Process";0;0
699;"a1956";"2019-10-30 09:11:07";"Burn In Station";"30N004000232";"Started Burn In Process";0;0
700;"a1956";"2019-10-30 09:11:07";"Burn In Station";"30N004000332";"Started Burn In Process";0;0
701;"a1956";"2019-10-30 09:11:07";"Burn In Station";"30N004000316";"Started Burn In Process";0;0
702;"a1956";"2019-10-30 09:11:07";"Burn In Station";"30N004000309";"Started Burn In Process";0;0
703;"a1956";"2019-10-30 09:11:07";"Burn In Station";"30N004000354";"Started Burn In Process";0;0
704;"a1956";"2019-10-30 09:11:07";"Burn In Station";"30N004000111";"Started Burn In Process";0;0
705;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000353";"Started Burn In Process";0;0
706;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000069";"Started Burn In Process";0;0
707;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000396";"Started Burn In Process";0;0
708;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000112";"Started Burn In Process";0;0
709;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000209";"Started Burn In Process";0;0
710;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000204";"Started Burn In Process";0;0
711;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000305";"Started Burn In Process";0;0
712;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000310";"Started Burn In Process";0;0
713;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000062";"Started Burn In Process";0;0
714;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000146";"Started Burn In Process";0;0
715;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000079";"Started Burn In Process";0;0
716;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000032";"Started Burn In Process";0;0
717;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000085";"Started Burn In Process";0;0
718;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000344";"Started Burn In Process";0;0
719;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000124";"Started Burn In Process";0;0
720;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000138";"Started Burn In Process";0;0
721;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000329";"Started Burn In Process";0;0
722;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000114";"Started Burn In Process";0;0
723;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000074";"Started Burn In Process";0;0
724;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000311";"Started Burn In Process";0;0
725;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000196";"Started Burn In Process";0;0
726;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000368";"Started Burn In Process";0;0
727;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000051";"Started Burn In Process";0;0
728;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000053";"Started Burn In Process";0;0
729;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000347";"Started Burn In Process";0;0
730;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000127";"Started Burn In Process";0;0
731;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000321";"Started Burn In Process";0;0
732;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000322";"Started Burn In Process";0;0
733;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000205";"Started Burn In Process";0;0
734;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000324";"Started Burn In Process";0;0
735;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000036";"Started Burn In Process";0;0
736;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000129";"Started Burn In Process";0;0
737;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000030";"Started Burn In Process";0;0
738;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000285";"Started Burn In Process";0;0
739;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000336";"Started Burn In Process";0;0
740;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000394";"Started Burn In Process";0;0
741;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000384";"Started Burn In Process";0;0
742;"a1956";"2019-10-30 09:11:08";"Burn In Station";"30N004000115";"Started Burn In Process";0;0
743;"a1956";"2019-10-30 09:11:51";"Result Station";"30N004000368";"Marked Fail: Fan Noise";0;0
744;"a1956";"2019-10-30 09:12:09";"Result Station";"30N004000347";"Marked Fail: LEDs issue , Green LED flash slowly";0;0
745;"a1956";"2019-10-30 09:12:14";"Result Station";"30N004000196";"Marked Fail: LEDs issue , Green LED flash slowly";0;0
746;"a1956";"2019-10-30 09:12:18";"Result Station";"30N004000324";"Marked Fail: LEDs issue , Green LED flash slowly";0;0
747;"a1956";"2019-10-30 09:12:22";"Result Station";"30N004000394";"Marked Fail: LEDs issue , Green LED flash slowly";0;0
748;"a1956";"2019-10-30 09:12:50";"Result Station";"30N004000282";"Marked Passed!";0;0
749;"a1956";"2019-10-30 09:12:51";"Result Station";"30N004000337";"Marked Passed!";0;0
750;"a1956";"2019-10-30 09:12:52";"Result Station";"30N004000393";"Marked Passed!";0;0
751;"a1956";"2019-10-30 09:12:53";"Result Station";"30N004000232";"Marked Passed!";0;0
752;"a1956";"2019-10-30 09:12:53";"Result Station";"30N004000332";"Marked Passed!";0;0
753;"a1956";"2019-10-30 09:12:54";"Result Station";"30N004000316";"Marked Passed!";0;0
754;"a1956";"2019-10-30 09:12:54";"Result Station";"30N004000309";"Marked Passed!";0;0
755;"a1956";"2019-10-30 09:12:56";"Result Station";"30N004000354";"Marked Passed!";0;0
756;"a1956";"2019-10-30 09:12:57";"Result Station";"30N004000111";"Marked Passed!";0;0
757;"a1956";"2019-10-30 09:12:58";"Result Station";"30N004000353";"Marked Passed!";0;0
758;"a1956";"2019-10-30 09:13:09";"Result Station";"30N004000069";"Marked Passed!";0;0
759;"a1956";"2019-10-30 09:13:10";"Result Station";"30N004000396";"Marked Passed!";0;0
760;"a1956";"2019-10-30 09:13:10";"Result Station";"30N004000112";"Marked Passed!";0;0
761;"a1956";"2019-10-30 09:13:11";"Result Station";"30N004000209";"Marked Passed!";0;0
762;"a1956";"2019-10-30 09:13:11";"Result Station";"30N004000204";"Marked Passed!";0;0
763;"a1956";"2019-10-30 09:13:12";"Result Station";"30N004000305";"Marked Passed!";0;0
764;"a1956";"2019-10-30 09:13:12";"Result Station";"30N004000310";"Marked Passed!";0;0
765;"a1956";"2019-10-30 09:13:13";"Result Station";"30N004000062";"Marked Passed!";0;0
766;"a1956";"2019-10-30 09:13:13";"Result Station";"30N004000146";"Marked Passed!";0;0
767;"a1956";"2019-10-30 09:13:14";"Result Station";"30N004000079";"Marked Passed!";0;0
768;"a1956";"2019-10-30 09:13:20";"Result Station";"30N004000032";"Marked Passed!";0;0
769;"a1956";"2019-10-30 09:13:20";"Result Station";"30N004000085";"Marked Passed!";0;0
770;"a1956";"2019-10-30 09:13:21";"Result Station";"30N004000344";"Marked Passed!";0;0
771;"a1956";"2019-10-30 09:13:21";"Result Station";"30N004000124";"Marked Passed!";0;0
772;"a1956";"2019-10-30 09:13:22";"Result Station";"30N004000138";"Marked Passed!";0;0
773;"a1956";"2019-10-30 09:13:22";"Result Station";"30N004000329";"Marked Passed!";0;0
774;"a1956";"2019-10-30 09:13:23";"Result Station";"30N004000114";"Marked Passed!";0;0
775;"a1956";"2019-10-30 09:13:24";"Result Station";"30N004000074";"Marked Passed!";0;0
776;"a1956";"2019-10-30 09:13:24";"Result Station";"30N004000311";"Marked Passed!";0;0
777;"a1956";"2019-10-30 09:13:30";"Result Station";"30N004000129";"Marked Passed!";0;0
778;"a1956";"2019-10-30 09:13:30";"Result Station";"30N004000030";"Marked Passed!";0;0
779;"a1956";"2019-10-30 09:13:31";"Result Station";"30N004000285";"Marked Passed!";0;0
780;"a1956";"2019-10-30 09:13:31";"Result Station";"30N004000336";"Marked Passed!";0;0
781;"a1956";"2019-10-30 09:13:33";"Result Station";"30N004000384";"Marked Passed!";0;0
782;"a1956";"2019-10-30 09:13:34";"Result Station";"30N004000115";"Marked Passed!";0;0
783;"a1956";"2019-10-30 09:13:36";"Result Station";"30N004000051";"Marked Passed!";0;0
784;"a1956";"2019-10-30 09:13:37";"Result Station";"30N004000053";"Marked Passed!";0;0
785;"a1956";"2019-10-30 09:13:37";"Result Station";"30N004000127";"Marked Passed!";0;0
786;"a1956";"2019-10-30 09:13:39";"Result Station";"30N004000321";"Marked Passed!";0;0
787;"a1956";"2019-10-30 09:13:39";"Result Station";"30N004000322";"Marked Passed!";0;0
788;"a1956";"2019-10-30 09:13:40";"Result Station";"30N004000205";"Marked Passed!";0;0
789;"a1956";"2019-10-30 09:13:41";"Result Station";"30N004000036";"Marked Passed!";0;0
790;"a1956";"2019-10-31 23:25:07";"Receiving Station";"30N004000049";"Received Controller Serial Number : 30N004000049";0;0
791;"a1956";"2019-10-31 23:25:12";"Receiving Station";"30N004000012";"Received Controller Serial Number : 30N004000012";0;0
792;"a1956";"2019-10-31 23:25:15";"Receiving Station";"30N004000082";"Received Controller Serial Number : 30N004000082";0;0
793;"a1956";"2019-10-31 23:25:17";"Receiving Station";"30N004000147";"Received Controller Serial Number : 30N004000147";0;0
794;"a1956";"2019-10-31 23:25:19";"Receiving Station";"30N004000113";"Received Controller Serial Number : 30N004000113";0;0
795;"a1956";"2019-10-31 23:25:21";"Receiving Station";"30N004000016";"Received Controller Serial Number : 30N004000016";0;0
796;"a1956";"2019-10-31 23:25:23";"Receiving Station";"30N004000055";"Received Controller Serial Number : 30N004000055";0;0
797;"a1956";"2019-10-31 23:25:25";"Receiving Station";"30N004000318";"Received Controller Serial Number : 30N004000318";0;0
798;"a1956";"2019-10-31 23:25:27";"Receiving Station";"30N004000001";"Received Controller Serial Number : 30N004000001";0;0
799;"a1956";"2019-10-31 23:25:29";"Receiving Station";"30N004000065";"Received Controller Serial Number : 30N004000065";0;0
800;"a1956";"2019-10-31 23:25:33";"Receiving Station";"30N004000086";"Received Controller Serial Number : 30N004000086";0;0
801;"a1956";"2019-10-31 23:25:35";"Receiving Station";"30N004000120";"Received Controller Serial Number : 30N004000120";0;0
802;"a1956";"2019-10-31 23:25:41";"Receiving Station";"30N004000132";"Received Controller Serial Number : 30N004000132";0;0
803;"a1956";"2019-10-31 23:25:42";"Receiving Station";"30N004000033";"Received Controller Serial Number : 30N004000033";0;0
804;"a1956";"2019-10-31 23:25:45";"Receiving Station";"30N004000096";"Received Controller Serial Number : 30N004000096";0;0
805;"a1956";"2019-10-31 23:25:46";"Receiving Station";"30N004000061";"Received Controller Serial Number : 30N004000061";0;0
806;"a1956";"2019-10-31 23:25:47";"Receiving Station";"30N004000137";"Received Controller Serial Number : 30N004000137";0;0
807;"a1956";"2019-10-31 23:25:48";"Receiving Station";"30N004000075";"Received Controller Serial Number : 30N004000075";0;0
808;"a1956";"2019-10-31 23:25:50";"Receiving Station";"30N004000052";"Received Controller Serial Number : 30N004000052";0;0
809;"a1956";"2019-10-31 23:25:51";"Receiving Station";"30N004000352";"Received Controller Serial Number : 30N004000352";0;0
810;"a1956";"2019-10-31 23:25:54";"Receiving Station";"30N004000363";"Received Controller Serial Number : 30N004000363";0;0
811;"a1956";"2019-10-31 23:25:55";"Receiving Station";"30N004000350";"Received Controller Serial Number : 30N004000350";0;0
812;"a1956";"2019-10-31 23:25:55";"Receiving Station";"30N004000135";"Received Controller Serial Number : 30N004000135";0;0
813;"a1956";"2019-10-31 23:25:56";"Receiving Station";"30N004000345";"Received Controller Serial Number : 30N004000345";0;0
814;"a1956";"2019-10-31 23:25:57";"Receiving Station";"30N004000131";"Received Controller Serial Number : 30N004000131";0;0
815;"a1956";"2019-10-31 23:25:58";"Receiving Station";"30N004000038";"Received Controller Serial Number : 30N004000038";0;0
816;"a1956";"2019-10-31 23:26:00";"Receiving Station";"30N004000380";"Received Controller Serial Number : 30N004000380";0;0
817;"a1956";"2019-10-31 23:26:01";"Receiving Station";"30N004000097";"Received Controller Serial Number : 30N004000097";0;0
818;"a1956";"2019-10-31 23:26:02";"Receiving Station";"30N004000035";"Received Controller Serial Number : 30N004000035";0;0
819;"a1956";"2019-10-31 23:26:03";"Receiving Station";"30N004000197";"Received Controller Serial Number : 30N004000197";0;0
820;"a1956";"2019-10-31 23:26:06";"Receiving Station";"30N004000087";"Received Controller Serial Number : 30N004000087";0;0
821;"a1956";"2019-10-31 23:26:07";"Receiving Station";"30N004000060";"Received Controller Serial Number : 30N004000060";0;0
822;"a1956";"2019-10-31 23:26:09";"Receiving Station";"30N004000362";"Received Controller Serial Number : 30N004000362";0;0
823;"a1956";"2019-10-31 23:26:11";"Receiving Station";"30N004000059";"Received Controller Serial Number : 30N004000059";0;0
824;"a1956";"2019-10-31 23:26:12";"Receiving Station";"30N004000386";"Received Controller Serial Number : 30N004000386";0;0
825;"a1956";"2019-10-31 23:26:13";"Receiving Station";"30N004000303";"Received Controller Serial Number : 30N004000303";0;0
826;"a1956";"2019-10-31 23:26:15";"Receiving Station";"30N004000383";"Received Controller Serial Number : 30N004000383";0;0
827;"a1956";"2019-10-31 23:26:16";"Receiving Station";"30N004000202";"Received Controller Serial Number : 30N004000202";0;0
828;"a1956";"2019-10-31 23:26:17";"Receiving Station";"30N004000122";"Received Controller Serial Number : 30N004000122";0;0
829;"a1956";"2019-10-31 23:26:17";"Receiving Station";"30N004000047";"Received Controller Serial Number : 30N004000047";0;0
830;"a1956";"2019-10-31 23:26:18";"Receiving Station";"30N004000063";"Received Controller Serial Number : 30N004000063";0;0
831;"a1956";"2019-10-31 23:26:19";"Receiving Station";"30N004000048";"Received Controller Serial Number : 30N004000048";0;0
832;"a1956";"2019-10-31 23:26:20";"Receiving Station";"30N004000237";"Received Controller Serial Number : 30N004000237";0;0
833;"a1956";"2019-10-31 23:26:21";"Receiving Station";"30N004000042";"Received Controller Serial Number : 30N004000042";0;0
834;"a1956";"2019-10-31 23:26:22";"Receiving Station";"30N004000119";"Received Controller Serial Number : 30N004000119";0;0
835;"a1956";"2019-10-31 23:26:23";"Receiving Station";"30N004000348";"Received Controller Serial Number : 30N004000348";0;0
836;"a1956";"2019-10-31 23:26:24";"Receiving Station";"30N004000045";"Received Controller Serial Number : 30N004000045";0;0
837;"a1956";"2019-10-31 23:26:25";"Receiving Station";"30N004000349";"Received Controller Serial Number : 30N004000349";0;0
838;"a1956";"2019-10-31 23:26:26";"Receiving Station";"30N004000193";"Received Controller Serial Number : 30N004000193";0;0
839;"a1956";"2019-10-31 23:26:27";"Receiving Station";"30N004000341";"Received Controller Serial Number : 30N004000341";0;0
840;"a1956";"2019-10-31 23:26:38";"Assembly Station";"30N004000049";"Assembler Controller Serial Number : 30N004000049";0;0
841;"a1956";"2019-10-31 23:26:38";"Assembly Station";"30N004000012";"Assembler Controller Serial Number : 30N004000012";0;0
842;"a1956";"2019-10-31 23:26:39";"Assembly Station";"30N004000082";"Assembler Controller Serial Number : 30N004000082";0;0
843;"a1956";"2019-10-31 23:26:40";"Assembly Station";"30N004000147";"Assembler Controller Serial Number : 30N004000147";0;0
844;"a1956";"2019-10-31 23:26:40";"Assembly Station";"30N004000113";"Assembler Controller Serial Number : 30N004000113";0;0
845;"a1956";"2019-10-31 23:26:41";"Assembly Station";"30N004000016";"Assembler Controller Serial Number : 30N004000016";0;0
846;"a1956";"2019-10-31 23:26:42";"Assembly Station";"30N004000055";"Assembler Controller Serial Number : 30N004000055";0;0
847;"a1956";"2019-10-31 23:26:42";"Assembly Station";"30N004000318";"Assembler Controller Serial Number : 30N004000318";0;0
848;"a1956";"2019-10-31 23:26:43";"Assembly Station";"30N004000001";"Assembler Controller Serial Number : 30N004000001";0;0
849;"a1956";"2019-10-31 23:26:44";"Assembly Station";"30N004000065";"Assembler Controller Serial Number : 30N004000065";0;0
850;"a1956";"2019-10-31 23:26:44";"Assembly Station";"30N004000352";"Assembler Controller Serial Number : 30N004000352";0;0
851;"a1956";"2019-10-31 23:26:45";"Assembly Station";"30N004000052";"Assembler Controller Serial Number : 30N004000052";0;0
852;"a1956";"2019-10-31 23:26:45";"Assembly Station";"30N004000075";"Assembler Controller Serial Number : 30N004000075";0;0
853;"a1956";"2019-10-31 23:26:46";"Assembly Station";"30N004000137";"Assembler Controller Serial Number : 30N004000137";0;0
854;"a1956";"2019-10-31 23:26:47";"Assembly Station";"30N004000061";"Assembler Controller Serial Number : 30N004000061";0;0
855;"a1956";"2019-10-31 23:26:47";"Assembly Station";"30N004000096";"Assembler Controller Serial Number : 30N004000096";0;0
856;"a1956";"2019-10-31 23:26:48";"Assembly Station";"30N004000033";"Assembler Controller Serial Number : 30N004000033";0;0
857;"a1956";"2019-10-31 23:26:48";"Assembly Station";"30N004000132";"Assembler Controller Serial Number : 30N004000132";0;0
858;"a1956";"2019-10-31 23:26:49";"Assembly Station";"30N004000120";"Assembler Controller Serial Number : 30N004000120";0;0
859;"a1956";"2019-10-31 23:26:50";"Assembly Station";"30N004000086";"Assembler Controller Serial Number : 30N004000086";0;0
860;"a1956";"2019-10-31 23:26:51";"Assembly Station";"30N004000197";"Assembler Controller Serial Number : 30N004000197";0;0
861;"a1956";"2019-10-31 23:26:51";"Assembly Station";"30N004000035";"Assembler Controller Serial Number : 30N004000035";0;0
862;"a1956";"2019-10-31 23:26:52";"Assembly Station";"30N004000097";"Assembler Controller Serial Number : 30N004000097";0;0
863;"a1956";"2019-10-31 23:26:53";"Assembly Station";"30N004000380";"Assembler Controller Serial Number : 30N004000380";0;0
864;"a1956";"2019-10-31 23:26:53";"Assembly Station";"30N004000038";"Assembler Controller Serial Number : 30N004000038";0;0
865;"a1956";"2019-10-31 23:26:54";"Assembly Station";"30N004000131";"Assembler Controller Serial Number : 30N004000131";0;0
866;"a1956";"2019-10-31 23:26:54";"Assembly Station";"30N004000345";"Assembler Controller Serial Number : 30N004000345";0;0
867;"a1956";"2019-10-31 23:26:55";"Assembly Station";"30N004000135";"Assembler Controller Serial Number : 30N004000135";0;0
868;"a1956";"2019-10-31 23:26:56";"Assembly Station";"30N004000350";"Assembler Controller Serial Number : 30N004000350";0;0
869;"a1956";"2019-10-31 23:26:56";"Assembly Station";"30N004000363";"Assembler Controller Serial Number : 30N004000363";0;0
870;"a1956";"2019-10-31 23:27:01";"Assembly Station";"30N004000087";"Assembler Controller Serial Number : 30N004000087";0;0
871;"a1956";"2019-10-31 23:27:01";"Assembly Station";"30N004000060";"Assembler Controller Serial Number : 30N004000060";0;0
872;"a1956";"2019-10-31 23:27:02";"Assembly Station";"30N004000362";"Assembler Controller Serial Number : 30N004000362";0;0
873;"a1956";"2019-10-31 23:27:04";"Assembly Station";"30N004000059";"Assembler Controller Serial Number : 30N004000059";0;0
874;"a1956";"2019-10-31 23:27:04";"Assembly Station";"30N004000386";"Assembler Controller Serial Number : 30N004000386";0;0
875;"a1956";"2019-10-31 23:27:05";"Assembly Station";"30N004000303";"Assembler Controller Serial Number : 30N004000303";0;0
876;"a1956";"2019-10-31 23:27:05";"Assembly Station";"30N004000383";"Assembler Controller Serial Number : 30N004000383";0;0
877;"a1956";"2019-10-31 23:27:06";"Assembly Station";"30N004000202";"Assembler Controller Serial Number : 30N004000202";0;0
878;"a1956";"2019-10-31 23:27:07";"Assembly Station";"30N004000122";"Assembler Controller Serial Number : 30N004000122";0;0
879;"a1956";"2019-10-31 23:27:07";"Assembly Station";"30N004000047";"Assembler Controller Serial Number : 30N004000047";0;0
880;"a1956";"2019-10-31 23:27:10";"Assembly Station";"30N004000063";"Assembler Controller Serial Number : 30N004000063";0;0
881;"a1956";"2019-10-31 23:27:10";"Assembly Station";"30N004000048";"Assembler Controller Serial Number : 30N004000048";0;0
882;"a1956";"2019-10-31 23:27:11";"Assembly Station";"30N004000237";"Assembler Controller Serial Number : 30N004000237";0;0
883;"a1956";"2019-10-31 23:27:12";"Assembly Station";"30N004000042";"Assembler Controller Serial Number : 30N004000042";0;0
884;"a1956";"2019-10-31 23:27:13";"Assembly Station";"30N004000119";"Assembler Controller Serial Number : 30N004000119";0;0
885;"a1956";"2019-10-31 23:27:13";"Assembly Station";"30N004000348";"Assembler Controller Serial Number : 30N004000348";0;0
886;"a1956";"2019-10-31 23:27:14";"Assembly Station";"30N004000045";"Assembler Controller Serial Number : 30N004000045";0;0
887;"a1956";"2019-10-31 23:27:14";"Assembly Station";"30N004000349";"Assembler Controller Serial Number : 30N004000349";0;0
888;"a1956";"2019-10-31 23:27:15";"Assembly Station";"30N004000193";"Assembler Controller Serial Number : 30N004000193";0;0
889;"a1956";"2019-10-31 23:27:16";"Assembly Station";"30N004000341";"Assembler Controller Serial Number : 30N004000341";0;0
890;"a1956";"2019-10-31 13:13:35";"Added to waiting list burn in";"30N004000087";"Added to burn in system.";0;0
891;"a1956";"2019-10-31 13:13:36";"Added to waiting list burn in";"30N004000060";"Added to burn in system.";0;0
892;"a1956";"2019-10-31 13:13:36";"Added to waiting list burn in";"30N004000362";"Added to burn in system.";0;0
893;"a1956";"2019-10-31 13:13:37";"Added to waiting list burn in";"30N004000059";"Added to burn in system.";0;0
894;"a1956";"2019-10-31 13:13:38";"Added to waiting list burn in";"30N004000386";"Added to burn in system.";0;0
895;"a1956";"2019-10-31 13:13:38";"Added to waiting list burn in";"30N004000303";"Added to burn in system.";0;0
896;"a1956";"2019-10-31 13:13:38";"Added to waiting list burn in";"30N004000383";"Added to burn in system.";0;0
897;"a1956";"2019-10-31 13:13:39";"Added to waiting list burn in";"30N004000202";"Added to burn in system.";0;0
898;"a1956";"2019-10-31 13:13:40";"Added to waiting list burn in";"30N004000122";"Added to burn in system.";0;0
899;"a1956";"2019-10-31 13:13:40";"Added to waiting list burn in";"30N004000047";"Added to burn in system.";0;0
900;"a1956";"2019-10-31 13:13:41";"Added to waiting list burn in";"30N004000063";"Added to burn in system.";0;0
901;"a1956";"2019-10-31 13:13:41";"Added to waiting list burn in";"30N004000048";"Added to burn in system.";0;0
902;"a1956";"2019-10-31 13:13:42";"Added to waiting list burn in";"30N004000237";"Added to burn in system.";0;0
903;"a1956";"2019-10-31 13:13:43";"Added to waiting list burn in";"30N004000042";"Added to burn in system.";0;0
904;"a1956";"2019-10-31 13:13:44";"Added to waiting list burn in";"30N004000119";"Added to burn in system.";0;0
905;"a1956";"2019-10-31 13:13:44";"Added to waiting list burn in";"30N004000348";"Added to burn in system.";0;0
906;"a1956";"2019-10-31 13:13:45";"Added to waiting list burn in";"30N004000045";"Added to burn in system.";0;0
907;"a1956";"2019-10-31 13:13:45";"Added to waiting list burn in";"30N004000349";"Added to burn in system.";0;0
908;"a1956";"2019-10-31 13:13:46";"Added to waiting list burn in";"30N004000193";"Added to burn in system.";0;0
909;"a1956";"2019-10-31 13:13:46";"Added to waiting list burn in";"30N004000341";"Added to burn in system.";0;0
910;"a1956";"2019-10-31 13:13:51";"Added to waiting list burn in";"30N004000065";"Added to burn in system.";0;0
911;"a1956";"2019-10-31 13:13:52";"Added to waiting list burn in";"30N004000001";"Added to burn in system.";0;0
912;"a1956";"2019-10-31 13:13:52";"Added to waiting list burn in";"30N004000318";"Added to burn in system.";0;0
913;"a1956";"2019-10-31 13:13:53";"Added to waiting list burn in";"30N004000055";"Added to burn in system.";0;0
914;"a1956";"2019-10-31 13:13:53";"Added to waiting list burn in";"30N004000016";"Added to burn in system.";0;0
915;"a1956";"2019-10-31 13:13:54";"Added to waiting list burn in";"30N004000113";"Added to burn in system.";0;0
916;"a1956";"2019-10-31 13:13:55";"Added to waiting list burn in";"30N004000147";"Added to burn in system.";0;0
917;"a1956";"2019-10-31 13:13:55";"Added to waiting list burn in";"30N004000082";"Added to burn in system.";0;0
918;"a1956";"2019-10-31 13:13:56";"Added to waiting list burn in";"30N004000012";"Added to burn in system.";0;0
919;"a1956";"2019-10-31 13:13:56";"Added to waiting list burn in";"30N004000049";"Added to burn in system.";0;0
920;"a1956";"2019-10-31 13:13:57";"Added to waiting list burn in";"30N004000086";"Added to burn in system.";0;0
921;"a1956";"2019-10-31 13:13:57";"Added to waiting list burn in";"30N004000120";"Added to burn in system.";0;0
922;"a1956";"2019-10-31 13:13:58";"Added to waiting list burn in";"30N004000132";"Added to burn in system.";0;0
923;"a1956";"2019-10-31 13:13:58";"Added to waiting list burn in";"30N004000033";"Added to burn in system.";0;0
924;"a1956";"2019-10-31 13:13:59";"Added to waiting list burn in";"30N004000096";"Added to burn in system.";0;0
925;"a1956";"2019-10-31 13:13:59";"Added to waiting list burn in";"30N004000061";"Added to burn in system.";0;0
926;"a1956";"2019-10-31 13:14:00";"Added to waiting list burn in";"30N004000137";"Added to burn in system.";0;0
927;"a1956";"2019-10-31 13:14:00";"Added to waiting list burn in";"30N004000075";"Added to burn in system.";0;0
928;"a1956";"2019-10-31 13:14:01";"Added to waiting list burn in";"30N004000052";"Added to burn in system.";0;0
929;"a1956";"2019-10-31 13:14:01";"Added to waiting list burn in";"30N004000352";"Added to burn in system.";0;0
930;"a1956";"2019-10-31 13:14:02";"Added to waiting list burn in";"30N004000363";"Added to burn in system.";0;0
931;"a1956";"2019-10-31 13:14:02";"Added to waiting list burn in";"30N004000350";"Added to burn in system.";0;0
932;"a1956";"2019-10-31 13:14:03";"Added to waiting list burn in";"30N004000135";"Added to burn in system.";0;0
933;"a1956";"2019-10-31 13:14:04";"Added to waiting list burn in";"30N004000345";"Added to burn in system.";0;0
934;"a1956";"2019-10-31 13:14:04";"Added to waiting list burn in";"30N004000131";"Added to burn in system.";0;0
935;"a1956";"2019-10-31 13:14:05";"Added to waiting list burn in";"30N004000038";"Added to burn in system.";0;0
936;"a1956";"2019-10-31 13:14:05";"Added to waiting list burn in";"30N004000380";"Added to burn in system.";0;0
937;"a1956";"2019-10-31 13:14:06";"Added to waiting list burn in";"30N004000097";"Added to burn in system.";0;0
938;"a1956";"2019-10-31 13:14:06";"Added to waiting list burn in";"30N004000035";"Added to burn in system.";0;0
939;"a1956";"2019-10-31 13:14:07";"Added to waiting list burn in";"30N004000197";"Added to burn in system.";0;0
940;"a1956";"2019-10-31 13:14:09";"Burn In Station";"30N004000087";"Started Burn In Process";0;0
941;"a1956";"2019-10-31 13:14:09";"Burn In Station";"30N004000060";"Started Burn In Process";0;0
